url,name
https://novosibirsk.hh.ru/vacancy/69278753,QA-инженер/Manual QA-engineer
https://novosibirsk.hh.ru/vacancy/69502821,Junior QA (gamedev)
https://novosibirsk.hh.ru/vacancy/69530355,Тестировщик ПО (стажер)
"https://novosibirsk.hh.ru/vacancy/69711610,""QA Engineer (Специалист по тестированию, gamedev, казуальные мобильные игры)"""
https://novosibirsk.hh.ru/vacancy/68884703,QA engineer (Инженер контроля качества ПО / Тестировщик)
https://novosibirsk.hh.ru/vacancy/69747233,Инженер - тестировщик / QA engineer (удаленно)
https://novosibirsk.hh.ru/vacancy/69731045,QA Engineer
https://novosibirsk.hh.ru/vacancy/53223677,Специалист по тестированию (Тестировщик)
https://novosibirsk.hh.ru/vacancy/69143884,QA (удаленно)
https://novosibirsk.hh.ru/vacancy/69278796,Тестировщик ПО (QA Инженер)
https://novosibirsk.hh.ru/vacancy/69757813,QA тестировщик middle
https://novosibirsk.hh.ru/vacancy/68847148,Junior / Middle QA Engineer - (casual mobile games)
https://novosibirsk.hh.ru/vacancy/69321489,Тестировщик / QA Engineer
https://novosibirsk.hh.ru/vacancy/69523724,QA manual/Тестировщик ПО
https://novosibirsk.hh.ru/vacancy/69756817,Тестировщик ПО / QA Engineer
https://novosibirsk.hh.ru/vacancy/69589315,Инженер по тестированию
https://novosibirsk.hh.ru/vacancy/69749782,Специалист по тестированию
https://novosibirsk.hh.ru/vacancy/69652111,QA Engineer Web
https://novosibirsk.hh.ru/vacancy/69532239,QA Engineer
https://novosibirsk.hh.ru/vacancy/69265087,Intern / Junior QA Engineer (manual)
https://novosibirsk.hh.ru/vacancy/69648450,Тестировщик ПО
https://novosibirsk.hh.ru/vacancy/69621061,Тестировщик/QA Инженер
https://novosibirsk.hh.ru/vacancy/69143502,Тестировщик ПО (QA Engineer)
https://novosibirsk.hh.ru/vacancy/68928313,QA специалист
https://novosibirsk.hh.ru/vacancy/69558098,Тестировщик ПО
https://novosibirsk.hh.ru/vacancy/69520035,Тестировщик ПО
https://novosibirsk.hh.ru/vacancy/69339899,QA manual engineer (удаленно)
https://novosibirsk.hh.ru/vacancy/68362705,QA-инженер
https://novosibirsk.hh.ru/vacancy/69634354,Middle QA-инженер
https://novosibirsk.hh.ru/vacancy/68915734,QA стажер (Owlcat games)
https://novosibirsk.hh.ru/vacancy/68101888,Тестировщик / QA-специалист
https://novosibirsk.hh.ru/vacancy/69314428,Тестировщик (web) / QA Junior
https://novosibirsk.hh.ru/vacancy/69525689,Тестировщик веб и мобильных приложений
https://novosibirsk.hh.ru/vacancy/69428764,Тестировщик ПО / QA Инженер
https://novosibirsk.hh.ru/vacancy/69599574,Тестировщик (QA)
https://novosibirsk.hh.ru/vacancy/67798241,Тестировщик / QA Engineer
https://novosibirsk.hh.ru/vacancy/69250569,Специалист по работе с номенклатурой
https://novosibirsk.hh.ru/vacancy/69377644,Junior +/Middle QA engineer
https://novosibirsk.hh.ru/vacancy/69494313,Инженер по тестированию ПО (в Черногорию)
https://novosibirsk.hh.ru/vacancy/66768586,Тестировщик программного обеспечения
https://novosibirsk.hh.ru/vacancy/68976539,Тестировщик
https://novosibirsk.hh.ru/vacancy/69202014,Инженер-тестировщик
https://novosibirsk.hh.ru/vacancy/67570474,Manual QA specialist
https://novosibirsk.hh.ru/vacancy/69531808,Специалист по автоматизации тестирования / QA Engineer
https://novosibirsk.hh.ru/vacancy/69711853,Настоящий QA engineer
https://novosibirsk.hh.ru/vacancy/69098040,QA manual
https://novosibirsk.hh.ru/vacancy/69660010,Тестировщик ПО
https://novosibirsk.hh.ru/vacancy/66178786,Тестировщик ПО
https://novosibirsk.hh.ru/vacancy/69385343,Тестировщик/Специалист по тестированию
https://novosibirsk.hh.ru/vacancy/69578764,QA engeener
https://novosibirsk.hh.ru/vacancy/69520276,Junior QA инженер (тестировщик)
https://novosibirsk.hh.ru/vacancy/69379791,QA Engineer
"https://novosibirsk.hh.ru/vacancy/69721651,""QA Инженер (manual, remote)"""
https://novosibirsk.hh.ru/vacancy/69719554,Тестировщик игр
https://novosibirsk.hh.ru/vacancy/55859411,Тестировщик ПО/QA- Engineer
https://novosibirsk.hh.ru/vacancy/69635977,Специалист по тестированию (QA Engineer)
https://novosibirsk.hh.ru/vacancy/69573719,Middle Manual QA Specialist
https://novosibirsk.hh.ru/vacancy/69540211,Специалист по тестированию ПО (QA Automation Engineer)
https://novosibirsk.hh.ru/vacancy/69597916,Инженер по тестированию ПО (QA)
https://novosibirsk.hh.ru/vacancy/69590913,Middle QA engineer
https://novosibirsk.hh.ru/vacancy/69201664,Тестировщик
https://novosibirsk.hh.ru/vacancy/67999325,QA engineer (ЦФТ)
https://novosibirsk.hh.ru/vacancy/69550019,QA инженер (тестировщик)
https://novosibirsk.hh.ru/vacancy/69624900,Тестировщик
https://novosibirsk.hh.ru/vacancy/69589048,QA engineer
https://novosibirsk.hh.ru/vacancy/68558993,QA engineer (регресс команда)
https://novosibirsk.hh.ru/vacancy/69765035,QA-инженер
https://novosibirsk.hh.ru/vacancy/69253558,Тестировщик (web) / QA Engineer
